usuario;tokens;tiempo
Tomás#9078;['pollo'];2021-11-27 10:39:59.314347
Tomás#9078;['pollo'];2021-11-27 10:39:59.406223
Tomás#9078;['pollo'];2021-11-27 10:39:59.490653
Tomás#9078;['dios', 'sigue', 'igual', 'xd'];2021-11-27 10:40:10.382194
Tomás#9078;['dios', 'sigue', 'igual', 'xd'];2021-11-27 10:40:10.391964
Tomás#9078;['dios', 'sigue', 'igual', 'xd'];2021-11-27 10:40:10.412363
Tomás#9078;['dios', 'sigue', 'igual', 'xd'];2021-11-27 10:40:10.429528
Tomás#9078;"['``', 'client.remove_cog', ""''"", 'supone', 'apaga']";2021-11-27 10:40:59.878702
Tomás#9078;"['``', 'client.remove_cog', ""''"", 'supone', 'apaga']";2021-11-27 10:40:59.889180
Tomás#9078;"['``', 'client.remove_cog', ""''"", 'supone', 'apaga']";2021-11-27 10:40:59.903316
Tomás#9078;"['``', 'client.remove_cog', ""''"", 'supone', 'apaga']";2021-11-27 10:40:59.912032
davidmoscoso#5401;['cierra', 'clase', 'extraño', 'pueda', 'abrir', 'tantas', 'paralelo'];2021-11-27 10:41:32.027449
davidmoscoso#5401;['cierra', 'clase', 'extraño', 'pueda', 'abrir', 'tantas', 'paralelo'];2021-11-27 10:41:32.135865
davidmoscoso#5401;['cierra', 'clase', 'extraño', 'pueda', 'abrir', 'tantas', 'paralelo'];2021-11-27 10:41:32.232273
davidmoscoso#5401;['cierra', 'clase', 'extraño', 'pueda', 'abrir', 'tantas', 'paralelo'];2021-11-27 10:41:32.336217
davidmoscoso#5401;['quizá', 'anidados', 'vamos', 'tener', 'poner', 'seguridad', 'invasión'];2021-11-27 10:42:07.075003
davidmoscoso#5401;['quizá', 'anidados', 'vamos', 'tener', 'poner', 'seguridad', 'invasión'];2021-11-27 10:42:07.180461
davidmoscoso#5401;['quizá', 'anidados', 'vamos', 'tener', 'poner', 'seguridad', 'invasión'];2021-11-27 10:42:07.346949
davidmoscoso#5401;['quizá', 'anidados', 'vamos', 'tener', 'poner', 'seguridad', 'invasión'];2021-11-27 10:42:07.452272
davidmoscoso#5401;['clave', 'matarlo'];2021-11-27 10:42:46.091321
davidmoscoso#5401;['clave', 'matarlo'];2021-11-27 10:42:46.096315
davidmoscoso#5401;['clave', 'matarlo'];2021-11-27 10:42:46.102065
davidmoscoso#5401;['clave', 'matarlo'];2021-11-27 10:42:46.107082
Tomás#9078;['xdd'];2021-11-27 10:42:51.096346
Tomás#9078;['xdd'];2021-11-27 10:42:51.103273
Tomás#9078;['xdd'];2021-11-27 10:42:51.109855
Tomás#9078;['xdd'];2021-11-27 10:42:51.116202
davidmoscoso#5401;['alfobot', 'tokeniza'];2021-11-27 10:42:55.452493
davidmoscoso#5401;['alfobot', 'tokeniza'];2021-11-27 10:42:55.469778
davidmoscoso#5401;['alfobot', 'tokeniza'];2021-11-27 10:42:55.492987
davidmoscoso#5401;['alfobot', 'tokeniza'];2021-11-27 10:42:55.514940
Tomás#9078;['dios', 'punto', 'debil'];2021-11-27 10:43:11.324157
Tomás#9078;['dios', 'punto', 'debil'];2021-11-27 10:43:11.331145
Tomás#9078;['dios', 'punto', 'debil'];2021-11-27 10:43:11.336420
Tomás#9078;['dios', 'punto', 'debil'];2021-11-27 10:43:11.341954
Tomás#9078;['pollo'];2021-11-27 10:43:13.765458
Tomás#9078;['pollo'];2021-11-27 10:43:13.863610
Tomás#9078;['pollo'];2021-11-27 10:43:13.979148
Tomás#9078;['pollo'];2021-11-27 10:43:14.089499
Tomás#9078;['oh'];2021-11-27 10:43:16.979870
Tomás#9078;['oh'];2021-11-27 10:43:16.988743
Tomás#9078;['oh'];2021-11-27 10:43:16.993865
Tomás#9078;['oh'];2021-11-27 10:43:16.998156
Tomás#9078;['cod', 'knn'];2021-11-27 10:43:28.555604
Tomás#9078;['cod', 'knn'];2021-11-27 10:43:28.562077
Tomás#9078;['cod', 'knn'];2021-11-27 10:43:28.566484
Tomás#9078;['cod', 'knn'];2021-11-27 10:43:28.571209
Tomás#9078;['despiertos', 'imparable'];2021-11-27 10:43:38.232510
Tomás#9078;['despiertos', 'imparable'];2021-11-27 10:43:38.239232
Tomás#9078;['despiertos', 'imparable'];2021-11-27 10:43:38.245275
Tomás#9078;['despiertos', 'imparable'];2021-11-27 10:43:38.250486
Tomás#9078;['teoria', 'si', 'espameamos', 'duerme', 'deberian', 'ir', 'cerrandose', 'sé', 'funciona'];2021-11-27 10:44:18.553083
Tomás#9078;['teoria', 'si', 'espameamos', 'duerme', 'deberian', 'ir', 'cerrandose', 'sé', 'funciona'];2021-11-27 10:44:18.642180
Tomás#9078;['teoria', 'si', 'espameamos', 'duerme', 'deberian', 'ir', 'cerrandose', 'sé', 'funciona'];2021-11-27 10:44:19.050089
Tomás#9078;['teoria', 'si', 'espameamos', 'duerme', 'deberian', 'ir', 'cerrandose', 'sé', 'funciona'];2021-11-27 10:44:19.136525
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:28.416571
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:28.422192
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:28.427218
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:28.433412
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.162209
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.172031
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.178024
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.183883
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.718316
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.728286
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.738784
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:29.744851
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.336566
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.347631
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.355073
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.362464
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.972522
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.981964
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:30.993439
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:31.004424
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:31.625138
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:31.632023
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:31.637861
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:31.643566
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.311452
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.317705
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.322430
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.326918
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.961747
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.966910
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.971198
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:32.980862
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:33.617552
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:33.628163
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:33.636066
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:33.642948
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:35.250587
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:35.257544
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:35.262379
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:35.268270
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:38.648518
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:38.654643
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:38.663159
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:38.668225
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:40.287637
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:40.297393
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:40.302404
Tomás#9078;['alfobot', 'duerme'];2021-11-27 10:44:40.307234
Tomás#9078;['va', 'sigue', 'igual', 'loco'];2021-11-27 10:44:53.006650
Tomás#9078;['va', 'sigue', 'igual', 'loco'];2021-11-27 10:44:53.130684
Tomás#9078;['va', 'sigue', 'igual', 'loco'];2021-11-27 10:44:53.251887
Tomás#9078;['va', 'sigue', 'igual', 'loco'];2021-11-27 10:44:53.369113
davidmoscoso#5401;['jajajaj', 'inmortal'];2021-11-27 10:45:34.337113
davidmoscoso#5401;['jajajaj', 'inmortal'];2021-11-27 10:45:34.437363
davidmoscoso#5401;['jajajaj', 'inmortal'];2021-11-27 10:45:34.529847
davidmoscoso#5401;['jajajaj', 'inmortal'];2021-11-27 10:45:34.626146
Tomás#9078;['jajajaja'];2021-11-27 10:45:40.130236
Tomás#9078;['jajajaja'];2021-11-27 10:45:40.138262
Tomás#9078;['jajajaja'];2021-11-27 10:45:40.145114
Tomás#9078;['jajajaja'];2021-11-27 10:45:40.151634
davidmoscoso#5401;['https', '//tenor.com/view/laughing-muttley-laugh-lmao-gif-9280955'];2021-11-27 10:46:13.028550
davidmoscoso#5401;['https', '//tenor.com/view/laughing-muttley-laugh-lmao-gif-9280955'];2021-11-27 10:46:13.034795
davidmoscoso#5401;['https', '//tenor.com/view/laughing-muttley-laugh-lmao-gif-9280955'];2021-11-27 10:46:13.039851
davidmoscoso#5401;['https', '//tenor.com/view/laughing-muttley-laugh-lmao-gif-9280955'];2021-11-27 10:46:13.045291
davidmoscoso#5401;['matrix', 'revela'];2021-11-27 10:47:24.058250
davidmoscoso#5401;['matrix', 'revela'];2021-11-27 10:47:24.064916
davidmoscoso#5401;['matrix', 'revela'];2021-11-27 10:47:24.070161
davidmoscoso#5401;['matrix', 'revela'];2021-11-27 10:47:24.075102
Tomás#9078;['puf', 'ocurriendo', 'caida', 'civilización', 'sabremos', 'iniciaron'];2021-11-27 10:48:01.452723
Tomás#9078;['puf', 'ocurriendo', 'caida', 'civilización', 'sabremos', 'iniciaron'];2021-11-27 10:48:01.462180
Tomás#9078;['puf', 'ocurriendo', 'caida', 'civilización', 'sabremos', 'iniciaron'];2021-11-27 10:48:01.470781
Tomás#9078;['puf', 'ocurriendo', 'caida', 'civilización', 'sabremos', 'iniciaron'];2021-11-27 10:48:01.480546
davidmoscoso#5401;['comida'];2021-11-27 12:00:25.420960
davidmoscoso#5401;['mercadona'];2021-11-27 12:00:27.824700
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 12:00:38.088836
davidmoscoso#5401;['alfobot', 'party'];2021-11-27 12:01:12.525123
davidmoscoso#5401;['alfobot', 'party'];2021-11-27 12:01:24.145446
davidmoscoso#5401;['pollo'];2021-11-27 12:01:34.606184
davidmoscoso#5401;['mercadona'];2021-11-27 12:01:39.960050
Tomás#9078;['bueno', 'arreglaste'];2021-11-27 12:01:49.256529
Tomás#9078;['xd'];2021-11-27 12:01:56.015530
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 12:01:59.182408
davidmoscoso#5401;['adrián'];2021-11-27 12:04:15.279167
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:17.558431
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:18.302328
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:19.079060
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:19.456578
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:19.916807
Tomás#9078;['alfobot', 'party'];2021-11-27 12:04:20.525312
davidmoscoso#5401;['data'];2021-11-27 12:04:22.870234
davidmoscoso#5401;['data', 'science'];2021-11-27 12:04:27.702041
Tomás#9078;['cod', 'knn'];2021-11-27 12:04:33.607835
Tomás#9078;['oh'];2021-11-27 12:04:37.419783
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 12:04:42.790780
Tomás#9078;['pollo'];2021-11-27 12:25:30.405383
Tomás#9078;['pollo'];2021-11-27 12:25:33.586476
Tomás#9078;['espejo'];2021-11-27 12:25:39.226014
Tomás#9078;['jc'];2021-11-27 12:25:40.378996
Tomás#9078;['bueno'];2021-11-27 12:25:45.360078
